nom,flowminder__inflow_202604__static.matrix,flowminder__inflow__static.matrix,flowminder__outflow_202604__static.matrix,flowminder__outflow__static.matrix,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static.matrix,flowminder_short_trips__ituri_subscriber_days_prior_20260503,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static.matrix,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_followup_20260608__static,flowminder_short_trips__nk_subscriber_days_followup_20260608__static.matrix,flowminder_short_trips__nk_subscriber_days_prior_20260503,flowminder_short_trips__nk_subscriber_days_prior_20260503__static,flowminder_short_trips__nk_subscriber_days_prior_20260503__static.matrix,flowminder_short_trips__outflow_20260430,flowminder_short_trips__outflow_20260430__static,flowminder_short_trips__outflow_20260430__static.matrix,flowminder_short_trips__outflow_20260507,flowminder_short_trips__outflow_20260507__static,flowminder_short_trips__outflow_20260507__static.matrix,flowminder_short_trips__outflow_20260514,flowminder_short_trips__outflow_20260514__static,flowminder_short_trips__outflow_20260514__static.matrix,flowminder_short_trips__outflow_20260521,flowminder_short_trips__outflow_20260521__static,flowminder_short_trips__outflow_20260521__static.matrix,flowminder_short_trips__outflow_20260524,flowminder_short_trips__outflow_20260524__static,flowminder_short_trips__outflow_20260524__static.matrix
Aba,0.0,0.0,0.0,0.0,0.0005129,0.0005129,,0.0004711,0.0004711,,0.0002419,0.0002419,,0.0001674,0.0001674,,0.01,0.01,,0.02,0.02,,0.02,0.02,,0.02,0.02,,0.02,0.02,
Adi,890,1130.0,455,1130.0,0.001032,0.001032,,0.001081,0.001081,,0.0003277,0.0003277,,0.0001266,0.0001266,,0.02,0.02,,0.03,0.03,,0.03,0.03,,0.04,0.04,,0.05,0.05,
Adja,,0.0,,0.0,9.118e-06,9.118e-06,,5.319e-05,5.319e-05,,1.969e-05,1.969e-05,,5.063e-05,5.063e-05,,0.0,0.0,,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,
Aketi,0.0,0.0,0.0,0.0,5.775e-05,5.775e-05,,1.52e-05,1.52e-05,,0.0004022,0.0004022,,0.0004191,0.0004191,,,,,,,,,,,,,,,,
Alimbongo,0.0,0.0,0.0,0.0,0.0005093,0.0005093,,0.0004673,0.0004673,,0.01056,0.01056,,0.01031,0.01031,,0.01,0.01,,0.01,0.01,,0.02,0.02,,0.03,0.03,,0.03,0.03,
Alunguli,0.0,0.0,0.0,0.0,3.571e-05,3.571e-05,,4.255e-05,4.255e-05,,0.0004303,0.0004303,,0.0006286,0.0006286,,,,,,,,,,,,,,,,
Ango,,0.0,,0.0,0.0,0.0,,1.52e-06,1.52e-06,,0.0,0.0,,0.0001828,0.0001828,,,,,,,,,,,,,,,,
Angumu,,0.0,,0.0,0.01238,0.01238,,0.01216,0.01216,,0.0003206,0.0003206,,4.219e-05,4.219e-05,,0.13,0.13,,0.18,0.18,,0.23,0.23,,0.26,0.26,,0.28,0.28,
Ankoro,0.0,0.0,0.0,0.0,1.52e-06,1.52e-06,,3.039e-06,3.039e-06,,0.0,0.0,,2.813e-06,2.813e-06,,,,,,,,,,,,,,,,
Ariwara,248,198.0,200,198.0,0.01072,0.01072,,0.01177,0.01177,,0.005159,0.005159,,0.005553,0.005553,,0.13,0.13,,0.2,0.2,,0.24,0.24,,0.3,0.3,,0.31,0.31,
Aru,65,68.0,48,68.0,0.01857,0.01857,,0.01953,0.01953,,0.005552,0.005552,,0.006326,0.006326,,0.24,0.24,,0.37,0.37,,0.48,0.48,,0.58,0.58,,0.61,0.61,
Aungba,,0.0,,0.0,0.008901,0.008901,,0.008864,0.008864,,0.002858,0.002858,,0.002581,0.002581,,0.1,0.1,,0.17,0.17,,0.25,0.25,,0.31,0.31,,0.34,0.34,
Bafwagbogbo,,0.0,0.0,0.0,0.0005463,0.0005463,,0.0007026,0.0007026,,0.005993,0.005993,,0.006189,0.006189,,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.02,0.02,,0.02,0.02,
Bafwasende,0.0,0.0,0.0,0.0,0.00277,0.00277,,0.002743,0.002743,,0.005608,0.005608,,0.004806,0.004806,,0.05,0.05,,0.09,0.09,,0.12,0.12,,0.15,0.15,,0.16,0.16,
Bagata,0.0,0.0,0.0,0.0,0.0,0.0,,1.52e-06,1.52e-06,,2.813e-06,2.813e-06,,2.813e-06,2.813e-06,,,,,,,,,,,,,,,,
Bagira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baka,0.0,0.0,0.0,0.0,3.039e-06,3.039e-06,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Bambo,0.0,0.0,0.0,0.0,0.0003989,0.0003989,,0.0001337,0.0001337,,0.0002728,0.0002728,,0.000128,0.000128,,0.0,0.0,,0.0,0.0,,0.01,0.01,,0.01,0.01,,0.01,0.01,
Bambu,0.0,0.0,0.0,0.0,0.8123,0.8123,,0.7674,0.7674,,0.003188,0.003188,,0.003387,0.003387,,6.45,6.45,,8.39,8.39,,9.99,9.99,,11.15,11.15,,11.98,11.98,
Banalia,0.0,0.0,0.0,0.0,0.000297,0.000297,,0.0004349,0.0004349,,0.002254,0.002254,,0.002691,0.002691,,0.0,0.0,,0.01,0.01,,0.01,0.01,,0.02,0.02,,0.02,0.02,
Bandalungwa,0.0,0.0,,0.0,0.0009974,0.0009974,,0.001615,0.001615,,0.0008944,0.0008944,,0.001423,0.001423,,0.02,0.02,,0.04,0.04,,0.05,0.05,,0.06,0.06,,0.06,0.06,
Bandundu,0.0,0.0,0.0,0.0,2.28e-05,2.28e-05,,1.52e-05,1.52e-05,,1.688e-05,1.688e-05,,4.782e-05,4.782e-05,,,,,,,,,,,,,,,,
Banga Lubaka,0.0,0.0,0.0,0.0,1.52e-06,1.52e-06,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Bangabola,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Banzow Moke,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Barumbu,0.0,0.0,,0.0,0.0007006,0.0007006,,0.0009579,0.0009579,,0.001328,0.001328,,0.001233,0.001233,,0.02,0.02,,0.03,0.03,,0.04,0.04,,0.05,0.05,,0.05,0.05,
Basankusu,0.0,0.0,0.0,0.0,0.0,0.0,,6.079e-06,6.079e-06,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Basoko,0.0,0.0,0.0,0.0,0.0001596,0.0001596,,7.269e-05,7.269e-05,,0.0007643,0.0007643,,0.0005379,0.0005379,,0.0,0.0,,0.0,0.0,,0.01,0.01,,0.01,0.01,,0.01,0.01,
Befale,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Bena Dibele,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Bena Leka,0.0,0.0,0.0,0.0,1.52e-06,1.52e-06,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Bena Tshadi,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Bengamisa,0.0,0.0,0.0,0.0,5.547e-05,5.547e-05,,6.687e-05,6.687e-05,,0.0001927,0.0001927,,0.0002663,0.0002663,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.01,0.01,,0.01,0.01,
Beni,,0.0,,0.0,0.02617,0.02617,,0.02895,0.02895,,,,1.644,,,1.698,0.34,0.34,,0.53,0.53,,0.71,0.71,,0.89,0.89,,0.96,0.96,
Bibanga,0.0,0.0,0.0,0.0,6.079e-06,6.079e-06,,1.52e-06,1.52e-06,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Biena,0.0,0.0,0.0,0.0,0.0001774,0.0001774,,0.000231,0.000231,,0.02321,0.02321,,0.02247,0.02247,,0.0,0.0,,0.0,0.0,,0.01,0.01,,0.01,0.01,,0.01,0.01,
Bikoro,0.0,0.0,0.0,0.0,0.0,0.0,,1.52e-06,1.52e-06,,0.0,0.0,,2.813e-06,2.813e-06,,,,,,,,,,,,,,,,
Bili (Bas-Uele),0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Binga,0.0,0.0,0.0,0.0,0.0,0.0,,1.52e-06,1.52e-06,,1.969e-05,1.969e-05,,1.406e-05,1.406e-05,,,,,,,,,,,,,,,,
Binza,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binza Meteo,,0.0,,0.0,0.001126,0.001126,,0.001179,0.001179,,0.001097,0.001097,,0.001416,0.001416,,0.02,0.02,,0.03,0.03,,0.04,0.04,,0.04,0.04,,0.05,0.05,
Binza Ozone,,0.0,,0.0,0.002998,0.002998,,0.004234,0.004234,,0.003386,0.003386,,0.004465,0.004465,,0.05,0.05,,0.07,0.07,,0.08,0.08,,0.09,0.09,,0.09,0.09,
Bipemba,0.0,0.0,0.0,0.0,7.523e-05,7.523e-05,,0.0001246,0.0001246,,3.938e-05,3.938e-05,,7.439e-05,7.439e-05,,,,,,,,,,,,,,,,
Birambizo,0.0,0.0,0.0,0.0,3.039e-06,3.039e-06,,0.0,0.0,,1.125e-05,1.125e-05,,1.406e-05,1.406e-05,,,,,,,,,,,,,,,,
Biringi,36,29.0,34,29.0,0.01359,0.01359,,0.01373,0.01373,,0.003436,0.003436,,0.003796,0.003796,,0.17,0.17,,0.27,0.27,,0.36,0.36,,0.43,0.43,,0.46,0.46,
Biyela,0.0,0.0,0.0,0.0,0.0001064,0.0001064,,8.206e-05,8.206e-05,,2.813e-05,2.813e-05,,2.813e-05,2.813e-05,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.01,0.01,,0.01,0.01,
Boende,0.0,0.0,0.0,0.0,4.559e-06,4.559e-06,,9.118e-06,9.118e-06,,0.0,0.0,,5.344e-05,5.344e-05,,,,,,,,,,,,,,,,
Boga,0.0,0.0,,0.0,0.02424,0.02424,,0.03444,0.03444,,0.001244,0.001244,,0.002609,0.002609,,0.22,0.22,,0.54,0.54,,0.59,0.59,,0.64,0.64,,0.66,0.66,
Bogosenubea,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Boko,0.0,0.0,0.0,0.0,4.255e-05,4.255e-05,,9.118e-06,9.118e-06,,1.406e-05,1.406e-05,,1.406e-05,1.406e-05,,,,,,,,,,,,,,,,
Boko Kivulu,0.0,0.0,0.0,0.0,1.216e-05,1.216e-05,,2.28e-05,2.28e-05,,4.5e-05,4.5e-05,,2.813e-05,2.813e-05,,,,,,,,,,,,,,,,
Bokonzi,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Bokoro,0.0,0.0,0.0,0.0,7.599e-06,7.599e-06,,7.599e-06,7.599e-06,,0.0,0.0,,8.438e-06,8.438e-06,,,,,,,,,,,,,,,,
Bolenge,0.0,0.0,0.0,0.0,5.499e-05,5.499e-05,,1.216e-05,1.216e-05,,3.094e-05,3.094e-05,,3.918e-06,3.918e-06,,,,,,,,,,,,,,,,
Bolobo,0.0,0.0,0.0,0.0,7.044e-05,7.044e-05,,1.786e-05,1.786e-05,,2.953e-05,2.953e-05,,1.236e-05,1.236e-05,,,,,,,,,,,,,,,,
Bolomba,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Boma,,0.0,0.0,0.0,1.672e-05,1.672e-05,,0.0001132,0.0001132,,3.656e-05,3.656e-05,,6.188e-05,6.188e-05,,,,,,,,,,,,,,,,
Boma Bungu,0.0,0.0,0.0,0.0,4.559e-06,4.559e-06,,2.28e-05,2.28e-05,,2.813e-05,2.813e-05,,1.125e-05,1.125e-05,,,,,,,,,,,,,,,,
Boma Mangbetu,,0.0,,0.0,9.118e-06,9.118e-06,,7.143e-05,7.143e-05,,0.0001059,0.0001059,,0.0003417,0.0003417,,,,,,,,,,,,,,,,
Bomongo,0.0,0.0,,0.0,0.0,0.0,,1.064e-05,1.064e-05,,0.0,0.0,,1.969e-05,1.969e-05,,,,,,,,,,,,,,,,
Bondo,0.0,0.0,0.0,0.0,0.0001261,0.0001261,,0.0001505,0.0001505,,0.002967,0.002967,,0.00483,0.00483,,,,,,,,,,,,,,,,
Bonzola,0.0,0.0,0.0,0.0,7.371e-05,7.371e-05,,0.0001672,0.0001672,,5.766e-05,5.766e-05,,6.689e-05,6.689e-05,,,,,,,,,,,,,,,,
Boso Manzi,0.0,0.0,0.0,0.0,0.0,0.0,,2.659e-06,2.659e-06,,5.625e-06,5.625e-06,,0.0,0.0,,,,,,,,,,,,,,,,
Boso Mondanda,0.0,0.0,0.0,0.0,0.0,0.0,,1.52e-06,1.52e-06,,0.0,0.0,,1.266e-05,1.266e-05,,,,,,,,,,,,,,,,
Bosobe,0.0,0.0,0.0,0.0,0.0,0.0,,1.52e-06,1.52e-06,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Bosobolo,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Bosondjo,0.0,0.0,0.0,0.0,0.0,0.0,,4.559e-06,4.559e-06,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Boto,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Budjala,0.0,0.0,0.0,0.0,3.039e-06,3.039e-06,,3.039e-06,3.039e-06,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Bukama,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Bulu,0.0,0.0,0.0,0.0,0.0,0.0,,3.039e-06,3.039e-06,,5.625e-06,5.625e-06,,1.125e-05,1.125e-05,,,,,,,,,,,,,,,,
Bulungu,,0.0,0.0,0.0,7.599e-06,7.599e-06,,0.0,0.0,,2.813e-06,2.813e-06,,2.813e-06,2.813e-06,,,,,,,,,,,,,,,,
Bumbu,,0.0,,0.0,0.000114,0.000114,,8.89e-05,8.89e-05,,0.000135,0.000135,,0.0002398,0.0002398,,0.0,0.0,,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,
Bunia,,0.0,,0.0,,,1.085,,,1.153,0.08423,0.08423,,0.08954,0.08954,,,,11.0,,,15.11,,,18.21,,,20.6,,,21.55
Bunkeya,0.0,0.0,0.0,0.0,3.039e-06,3.039e-06,,0.0,0.0,,2.813e-06,2.813e-06,,0.0,0.0,,,,,,,,,,,,,,,,
Bunkonde,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunyakiri,0.0,0.0,0.0,0.0,1.52e-06,1.52e-06,,7.599e-06,7.599e-06,,0.0006328,0.0006328,,0.0007032,0.0007032,,,,,,,,,,,,,,,,
Busanga,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.406e-05,1.406e-05,,,,,,,,,,,,,,,,
Buta,,0.0,,0.0,0.0001344,0.0001344,,0.001036,0.001036,,0.001273,0.001273,,0.001631,0.001631,,0.01,0.01,,0.02,0.02,,0.02,0.02,,0.02,0.02,,0.02,0.02,
Butembo,,0.0,,0.0,0.03058,0.03058,,0.03324,0.03324,,,,1.644,,,1.698,0.35,0.35,,0.5,0.5,,0.64,0.64,,0.79,0.79,,0.84,0.84,
Butumba,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwamanda,0.0,0.0,0.0,0.0,1.52e-06,1.52e-06,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Citenge,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damas,,0.0,,0.0,0.1966,0.1966,,0.2145,0.2145,,0.001714,0.001714,,0.001844,0.001844,,1.87,1.87,,2.6,2.6,,2.91,2.91,,3.2,3.2,,3.32,3.32,
Dekese,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Demba,0.0,0.0,0.0,0.0,1.52e-06,1.52e-06,,0.0,0.0,,2.813e-06,2.813e-06,,0.0,0.0,,,,,,,,,,,,,,,,
Dibaya,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dibindi,0.0,0.0,0.0,0.0,1.52e-05,1.52e-05,,3.039e-05,3.039e-05,,8.438e-06,8.438e-06,,5.625e-06,5.625e-06,,,,,,,,,,,,,,,,
Dikungu,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,3.938e-05,3.938e-05,,5.625e-06,5.625e-06,,,,,,,,,,,,,,,,
Dilala,0.0,0.0,0.0,0.0,5.167e-05,5.167e-05,,4.559e-06,4.559e-06,,5.907e-05,5.907e-05,,5.625e-06,5.625e-06,,,,,,,,,,,,,,,,
Dilolo,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.813e-06,2.813e-06,,0.0,0.0,,,,,,,,,,,,,,,,
Diulu,0.0,0.0,0.0,0.0,4.103e-05,4.103e-05,,7.751e-05,7.751e-05,,5.203e-05,5.203e-05,,5.063e-05,5.063e-05,,,,,,,,,,,,,,,,
Djalo Ndjeka,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.125e-05,1.125e-05,,,,,,,,,,,,,,,,
Djolu,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.531e-05,2.531e-05,,0.0,0.0,,,,,,,,,,,,,,,,
Djuma,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Doruma,17,0.0,,0.0,0.0,0.0,,6.079e-06,6.079e-06,,0.0,0.0,,4.078e-05,4.078e-05,,,,,,,,,,,,,,,,
Drodro,,0.0,,0.0,0.08585,0.08585,,0.1026,0.1026,,0.001836,0.001836,,0.001951,0.001951,,1.32,1.32,,1.97,1.97,,2.4,2.4,,2.76,2.76,,2.89,2.89,
Dungu,248,283.0,236,283.0,0.004666,0.004666,,0.003958,0.003958,,0.00938,0.00938,,0.01012,0.01012,,0.05,0.05,,0.08,0.08,,0.1,0.1,,0.12,0.12,,0.14,0.14,
Faradje,239,256.0,370,256.0,0.0005281,0.0005281,,0.0006512,0.0006512,,0.0009828,0.0009828,,0.000938,0.000938,,0.01,0.01,,0.01,0.01,,0.02,0.02,,0.02,0.02,,0.03,0.03,
Fataki,,0.0,,0.0,0.03742,0.03742,,0.05076,0.05076,,0.001754,0.001754,,0.002265,0.002265,,0.51,0.51,,0.82,0.82,,1.06,1.06,,1.27,1.27,,1.35,1.35,
Ferekeni,0.0,0.0,0.0,0.0,0.0,0.0,,1.52e-06,1.52e-06,,2.813e-06,2.813e-06,,0.0001181,0.0001181,,,,,,,,,,,,,,,,
Feshi,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Fizi,,0.0,,0.0,1.976e-05,1.976e-05,,2.622e-05,2.622e-05,,0.0001406,0.0001406,,0.0001652,0.0001652,,,,,,,,,,,,,,,,
Fungurume,0.0,0.0,0.0,0.0,3.229e-05,3.229e-05,,6.839e-05,6.839e-05,,4.5e-05,4.5e-05,,4.313e-05,4.313e-05,,,,,,,,,,,,,,,,
